,User,Date,Tweet,Tweets Ago,Positive,Negative,Neutral,Compound
430,nytimes,Mon Apr 23 21:32:02 +0000 2018,One NYT reader's reaction to the unarmed man who wrested a rifle away from the Waffle House gunman… https://t.co/jguzTHcISC,31,0.0,1.0,0.0,0.0
431,nytimes,Mon Apr 23 21:21:05 +0000 2018,"RT @katierogers: Melania Trump's media-shy East Wing staffers speak about their boss, who, amid constant craziness swirling around the Whit…",32,0.0,0.88,0.12,-0.3818
432,nytimes,Mon Apr 23 21:11:46 +0000 2018,"Nearly 3 months after they won their first Super Bowl title, the Philadelphia Eagles have not announced details of… https://t.co/wt20znA4Cf",33,0.309,0.691,0.0,0.8225
433,nytimes,Mon Apr 23 21:06:03 +0000 2018,New York Gov. Andrew Cuomo introduced a bill to ban single-use plastic bags by next year. There are some exemptions… https://t.co/tdlsjpmQo0,34,0.0,0.841,0.159,-0.5574
434,nytimes,Mon Apr 23 20:55:08 +0000 2018,"Europe’s efforts to stifle migration are being aided by nations with dubious human rights records, such as Sudan an… https://t.co/UeeTHyTqmu",35,0.0,0.884,0.116,-0.3612
435,nytimes,Mon Apr 23 20:43:05 +0000 2018,"RT @NYTSports: In a private meeting with players and league officials, the owner of the Eagles referred to Mr. Trump's tenure as ""one disas…",36,0.0,1.0,0.0,0.0
436,nytimes,Mon Apr 23 20:32:07 +0000 2018,"Except for 3 brief trips to India, he has sold newspapers outside the 86th Street subway station every night and mo… https://t.co/m7vZk5arcK",37,0.0,1.0,0.0,0.0
437,nytimes,Mon Apr 23 20:22:05 +0000 2018,RT @TheSteinLine: Appetizer for Game 4 of Rockets/Wolves from Sports Monday in the @nytimes: The story of Minnesota’s first home playoff ga…,38,0.0,1.0,0.0,0.0
438,nytimes,Mon Apr 23 20:12:03 +0000 2018,"Across the U.S., small craft distillers have been on a spending spree since the start of 2018 https://t.co/HCZj2DBsEu",39,0.0,1.0,0.0,0.0
439,nytimes,Mon Apr 23 20:02:07 +0000 2018,"""The Handmaid's Tale"" returns for Season 2 on Wednesday. Here's @poniewozik's review. https://t.co/9h0C1UR6zc",40,0.0,1.0,0.0,0.0
440,nytimes,Mon Apr 23 19:52:05 +0000 2018,"Joe R. Perez, 20
DeEbony Groves, 21
Taurean C. Sanderlin, 29
Akilah Dasilva, 23

A look at the lives of the Waffle… https://t.co/nXhQYhePhJ",41,0.0,1.0,0.0,0.0
441,nytimes,Mon Apr 23 19:43:53 +0000 2018,"About 10 people were hit, some of them feared dead, as a driver struck pedestrians at two sites in Toronto. A suspe… https://t.co/U9u5QgOXoa",42,0.0,0.655,0.345,-0.8591
442,nytimes,Mon Apr 23 19:42:03 +0000 2018,“Did you know one out of three babies aborted in American are black? One out of three. And Tammy Baldwin is a big r… https://t.co/UcwIO37sls,43,0.0,1.0,0.0,0.0
443,nytimes,Mon Apr 23 19:32:07 +0000 2018,"RT @Max_Fisher: Here are my thoughts on the Trump-Kim nuclear summit developments

The US and North Korea have been driving toward wildly c…",44,0.0,1.0,0.0,0.0
444,nytimes,Mon Apr 23 19:22:03 +0000 2018,Apple said in December that it would buy Shazam. But European regulators are holding up the deal. https://t.co/ffc4dC0uE8,45,0.0,1.0,0.0,0.0
445,nytimes,Mon Apr 23 19:12:04 +0000 2018,RT @charlie_savage: The USA under the Obama admin struck deals w/ 3 dozen nations to resettle 150 lower-level Gitmo detainees from chaotic…,46,0.0,0.909,0.091,-0.25
446,nytimes,Mon Apr 23 19:02:34 +0000 2018,"A van drove onto the sidewalk in at least 2 locations in Toronto, striking 8 to 10 people before it was stopped by… https://t.co/eR6nrCFGvA",47,0.0,0.913,0.087,-0.2263
447,nytimes,Mon Apr 23 19:02:03 +0000 2018,Dogs have long had a place in the art world. But not quite like this. https://t.co/OaTuHNsBGn,48,0.0,0.857,0.143,-0.3241
448,nytimes,Mon Apr 23 18:50:11 +0000 2018,"Multiple people were injured on Monday when a van went onto a Toronto sidewalk, striking 8 to 10 people, the police… https://t.co/8zCkFxHsQW",49,0.0,0.87,0.13,-0.4019
449,nytimes,Mon Apr 23 18:48:02 +0000 2018,"RT @nytpolitics: In Republican races across the country, candidates are spouting the president's catchphrases as they try to prove to voter…",50,0.0,1.0,0.0,0.0
450,nytimes,Mon Apr 23 18:37:11 +0000 2018,"About 160 law enforcement officials had been involved in the search for, Travis Reinking, the suspect in the Waffle… https://t.co/GwYyxwGUKZ",51,0.0,0.896,0.104,-0.296
451,nytimes,Mon Apr 23 18:33:08 +0000 2018,Pope Francis has said sorry time and again. But Canada's Indigenous people are wondering why they've been left off… https://t.co/TrNSqW5jqw,52,0.0,0.936,0.064,-0.0772
452,nytimes,Mon Apr 23 18:23:04 +0000 2018,"RT @nytimestravel: It's whisky galore on the remote and rugged Scottish island of Islay, which exists on the fringe of modernity https://t.…",53,0.0,1.0,0.0,0.0
